,mag_time,magX,magY,magZ
0,0.088258786,31.619999,55.259998,0.17999999
1,0.090700192,31.619999,55.259998,0.17999999
2,0.096681637,31.439999,54.299999,-0.59999996
3,0.10458569,31.08,53.459999,-1.4399999
4,0.11252026,30.84,52.739998,-2.28
5,0.12048535,30.779999,52.199997,-3.1799998
6,0.1283894,30.9,52.739998,-3.0599999
7,0.13635449,31.559999,53.279999,-2.9399998
8,0.14428906,31.92,53.34,-2.6399999
9,0.15219311,31.98,53.099998,-2.76
10,0.16012768,32.099998,52.68,-3.0
11,0.16803174,31.619999,52.199997,-3.24
12,0.17596631,31.619999,52.32,-3.54
13,0.18393139,31.619999,52.619999,-3.4199998
14,0.19195752,31.5,53.099998,-3.5999999
15,0.19986157,31.26,53.039997,-3.3599999
16,0.20776562,31.139999,52.919998,-3.1799998
17,0.21570019,31.139999,52.68,-2.8799999
18,0.22366528,31.5,52.439999,-2.7
19,0.23163037,32.099998,52.919998,-2.46
20,0.23959546,32.700001,53.039997,-2.1599998
21,0.24749951,32.939999,53.099998,-2.3999999
22,0.25543408,32.939999,53.34,-2.46
23,0.26339917,32.759998,52.919998,-2.9399998
24,0.27133374,32.34,52.439999,-3.54
25,0.27926831,32.16,52.259998,-3.6599998
26,0.28717236,32.099998,51.899998,-3.78
27,0.29510693,32.16,51.959999,-3.9599998
28,0.30307202,31.92,52.32,-4.0799999
29,0.31103711,31.92,52.139999,-4.4400001
30,0.31900219,31.859999,51.899998,-4.1999998
31,0.32690625,31.679998,51.599998,-3.54
32,0.33484082,31.74,51.599998,-3.24
33,0.3428059,31.74,52.139999,-2.5799999
34,0.35077099,32.099998,52.02,-2.76
35,0.35873608,31.92,52.199997,-3.1799998
36,0.36664013,31.74,51.779999,-3.3599999
37,0.37460522,31.5,51.779999,-3.78
38,0.38253979,31.139999,52.259998,-3.8999999
39,0.39047436,31.439999,52.02,-4.02
40,0.39840893,31.799999,52.379997,-3.54
41,0.40637402,32.279999,52.259998,-3.48
42,0.41427807,32.579998,52.32,-2.7
43,0.42221264,32.639999,52.32,-2.52
44,0.4301167,32.639999,52.32,-2.6399999
45,0.43799023,32.459999,52.379997,-2.76
46,0.44595532,32.279999,52.259998,-3.0
47,0.45388989,32.52,52.439999,-2.76
48,0.46176342,32.700001,52.619999,-2.9399998
49,0.46978955,32.52,52.32,-2.8799999
50,0.4776936,32.639999,52.439999,-2.9399998
51,0.48565869,32.579998,52.619999,-3.24
52,0.49356274,32.579998,52.259998,-3.0
53,0.50143628,33.119999,52.379997,-2.5799999
54,0.5094624,33.239998,52.199997,-2.6399999
55,0.51736645,33.239998,52.079998,-2.5799999
56,0.5252705,33.119999,52.32,-2.6399999
57,0.53320508,32.399998,52.199997,-2.8799999
58,0.54117016,32.040001,52.199997,-2.9399998
59,0.54916577,31.439999,51.599998,-3.1799998
60,0.55710034,31.379999,51.419998,-3.48
61,0.56500439,31.74,51.959999,-3.3
62,0.57293896,31.859999,51.959999,-3.6599998
63,0.58090405,32.219997,52.379997,-3.1199999
64,0.58889966,32.279999,52.5,-3.24
65,0.59683422,32.16,52.02,-3.24
66,0.60473828,32.279999,51.84,-3.1799998
67,0.61267285,32.279999,51.360001,-2.9399998
68,0.62060742,32.399998,51.419998,-2.7
69,0.62857251,32.34,51.299999,-3.1799998
70,0.63653759,32.639999,52.02,-2.8799999
71,0.64444165,32.759998,52.860001,-3.1799998
72,0.65237622,32.52,52.5,-3.4199998
73,0.6603413,32.459999,52.559998,-2.8799999
74,0.66830639,32.040001,52.079998,-2.52
75,0.67627148,31.799999,52.139999,-2.8799999
76,0.68414502,31.859999,52.32,-2.22
77,0.6921101,31.98,52.739998,-2.28
78,0.69998364,32.040001,53.039997,-2.3399999
79,0.70794873,32.099998,52.739998,-1.8
80,0.71591382,32.459999,52.98,-2.04
81,0.72381787,32.459999,52.739998,-2.28
82,0.73175244,32.459999,52.32,-2.28
83,0.73971753,32.279999,52.199997,-2.3999999
84,0.7476521,31.92,52.02,-2.3399999
85,0.75558667,32.040001,52.139999,-2.0999999
86,0.76355175,31.5,52.559998,-2.46
87,0.77151684,31.559999,52.739998,-2.6399999
88,0.7794209,31.799999,53.099998,-2.6399999
89,0.78738598,31.559999,53.459999,-2.76
90,0.79525952,31.92,53.34,-2.3999999
91,0.80322461,31.859999,53.52,-2.7
92,0.81115918,31.859999,53.639999,-2.7
93,0.81906323,31.859999,53.639999,-2.76
94,0.82702832,31.799999,53.82,-2.7
95,0.83493237,32.099998,53.459999,-2.6399999
96,0.84283642,31.98,53.279999,-2.7
97,0.85080151,32.099998,52.919998,-2.6399999
98,0.85870556,32.16,52.439999,-3.24
99,0.86673169,31.98,52.199997,-2.9399998
100,0.8745747,31.98,51.84,-2.8199999
101,0.88257031,31.679998,51.779999,-2.8199999
102,0.89050488,32.040001,52.139999,-2.6399999
103,0.89846997,32.040001,53.16,-2.7
104,0.90637402,31.619999,53.16,-2.7
105,0.91424756,31.619999,53.16,-2.9399998
106,0.92215161,31.199999,53.039997,-2.7
107,0.9301167,30.84,52.559998,-3.0
108,0.93799023,31.439999,53.279999,-3.24
109,0.94601635,31.679998,53.279999,-3.1799998
110,0.95392041,31.679998,53.219997,-3.1199999
111,0.96182446,32.040001,53.219997,-2.9399998
112,0.96975903,31.799999,52.919998,-2.76
113,0.97772412,31.92,52.799999,-2.3999999
114,0.98571972,31.98,52.799999,-2.28
115,0.99362378,31.859999,52.919998,-2.6399999
116,1.0015278,31.799999,52.559998,-2.76
117,1.0095234,31.199999,52.439999,-3.0599999
118,1.0174275,31.26,52.5,-3.4199998
119,1.0253926,31.199999,51.779999,-3.3599999
120,1.0332966,31.199999,51.779999,-3.0599999
121,1.0412007,31.799999,52.199997,-2.8199999
122,1.0491352,31.92,52.139999,-2.8799999
123,1.0570698,31.799999,53.039997,-2.5799999
124,1.0650959,31.679998,53.099998,-2.6399999
125,1.073,31.92,52.919998,-2.8799999
126,1.0809651,31.98,53.219997,-2.8799999
127,1.0888997,31.74,52.68,-3.0599999
128,1.0967732,31.74,53.099998,-3.0599999
129,1.1047383,31.08,53.039997,-3.24
130,1.1126118,30.9,52.860001,-3.0
131,1.1206074,31.32,52.860001,-2.76
132,1.128542,31.32,52.379997,-2.9399998
133,1.1364766,31.5,52.619999,-2.7
134,1.1443806,31.559999,52.619999,-2.8799999
135,1.1522541,31.5,53.16,-2.52
136,1.1602192,31.379999,53.52,-2.52
137,1.1681843,31.32,53.099998,-2.5799999
138,1.1760273,31.5,53.16,-2.7
139,1.1840229,31.379999,52.799999,-2.52
140,1.191927,31.439999,52.799999,-2.28
141,1.1998311,31.199999,53.039997,-1.86
142,1.2077961,30.779999,53.099998,-1.4399999
143,1.2156697,30.9,53.279999,-1.92
144,1.2236958,30.599998,52.799999,-2.0999999
145,1.2315998,30.42,52.860001,-2.52
146,1.2395039,30.779999,52.739998,-3.0
147,1.2474385,30.84,52.799999,-2.52
148,1.2554036,31.439999,53.279999,-2.52
149,1.2633686,32.040001,52.98,-2.3999999
150,1.2713337,31.679998,52.860001,-1.5599999
151,1.2792073,31.679998,52.98,-1.92
152,1.2871418,31.199999,52.559998,-2.46
153,1.2950764,31.019999,53.16,-2.0999999
154,1.3030415,31.08,53.639999,-2.5799999
155,1.3110066,31.019999,53.579998,-3.0
156,1.3189106,31.08,54.119999,-2.52
157,1.3268452,31.199999,53.639999,-3.1199999
158,1.3348103,31.559999,53.52,-2.9399998
159,1.3427754,31.5,53.16,-2.8799999
160,1.3507405,31.32,52.619999,-2.5799999
161,1.3586445,31.08,52.619999,-1.92
162,1.3665791,30.959999,52.02,-2.52
163,1.3745442,31.08,52.259998,-2.52
164,1.3824788,31.32,52.619999,-3.0
165,1.3904133,31.139999,52.439999,-3.48
166,1.3983479,31.08,52.799999,-3.0599999
167,1.406252,31.019999,52.860001,-2.8199999
168,1.4141865,31.26,52.68,-2.46
169,1.4221516,31.5,53.099998,-2.1599998
170,1.4300251,31.5,53.099998,-1.8
171,1.4379292,31.379999,52.919998,-2.1599998
172,1.4458943,31.08,53.099998,-2.46
173,1.4537983,31.199999,52.619999,-2.6399999
174,1.4618245,31.439999,52.860001,-3.0
175,1.4697285,31.679998,53.16,-2.9399998
176,1.477602,31.679998,53.399998,-2.6399999
177,1.4855366,31.619999,53.759998,-2.46
178,1.4935017,31.379999,53.459999,-2.1599998
179,1.5014973,30.84,53.16,-2.22
180,1.5094319,31.439999,52.98,-2.46
181,1.5173359,31.439999,53.16,-2.46
