,gyr_time,gyrX,gyrY,gyrZ
0,0.079281648,0.67111659,1.433846,1.2202604
1,0.079403718,0.67111659,1.433846,1.2202604
2,0.079525788,0.67111659,1.4306501,1.2101405
3,0.079647859,0.67111659,1.4306501,1.2101405
4,0.081631501,0.66951871,1.4183996,1.1952267
5,0.081875642,0.66951871,1.4183996,1.1952267
6,0.081967195,0.66951871,1.4183996,1.1952267
7,0.082089265,0.66951871,1.4183996,1.1952267
8,0.084072908,0.6599313,1.4024206,1.186172
9,0.084194978,0.6599313,1.4024206,1.186172
10,0.084317048,0.6599313,1.4024206,1.186172
11,0.085537751,0.65780079,1.3800501,1.1808456
12,0.087521394,0.64874607,1.3539511,1.1792477
13,0.089505036,0.64128917,1.3241237,1.1851068
14,0.091519197,0.63063657,1.2937636,1.196292
15,0.093533357,0.6263755,1.2548815,1.2128036
16,0.095516999,0.61891866,1.2181299,1.2325109
17,0.097500642,0.6103965,1.1829761,1.2564794
18,0.099514802,0.61359233,1.1531488,1.2868395
19,0.10152896,0.6103965,1.133974,1.3124058
20,0.10360416,0.61678815,1.1217234,1.33957
21,0.10552677,0.61945128,1.113734,1.361408
22,0.10754093,0.62957132,1.1153319,1.387507
23,0.10952457,0.63329971,1.1169298,1.4104102
24,0.11159976,0.6359629,1.1158645,1.4365091
25,0.11352237,0.63809341,1.1147993,1.4556838
26,0.1154755,0.63649553,1.1142666,1.4759239
27,0.11745914,0.63276708,1.1121361,1.4945661
28,0.11956485,0.62264705,1.1025487,1.5137408
29,0.12145694,0.6130597,1.0929613,1.5313177
30,0.12344058,0.5997439,1.0769824,1.5515577
31,0.12545474,0.58429754,1.0604708,1.5717977
32,0.12752994,0.56405753,1.0375676,1.5899072
33,0.12948306,0.54488277,1.0135992,1.6080167
34,0.13146671,0.52783853,0.98750013,1.6261262
35,0.13345035,0.50493532,0.95607483,1.6506273
36,0.13552554,0.48309743,0.9219864,1.6724652
37,0.13747867,0.4596616,0.88949585,1.6985642
38,0.13949283,0.44368264,0.85966843,1.7251958
39,0.14150699,0.42184472,0.83037364,1.7454358
40,0.14349063,0.41225734,0.8000136,1.7747306
41,0.14547428,0.39947417,0.77125144,1.7928401
42,0.14748844,0.39894155,0.73769563,1.8130801
43,0.1495026,0.40693101,0.70627034,1.8290591
44,0.15148624,0.41172472,0.67218184,1.8407769
45,0.1535004,0.43249738,0.62797338,1.8461033
46,0.15548404,0.45486793,0.58269966,1.8445054
47,0.15746768,0.48149952,0.52570802,1.8333201
48,0.15948184,0.50493532,0.46392268,1.8168086
49,0.16152652,0.53955644,0.39361522,1.7907095
50,0.16347965,0.57790595,0.31585091,1.7555559
51,0.16546329,0.6103965,0.23489082,1.7145431
52,0.16747745,0.64555025,0.14753912,1.6682042
53,0.16949161,0.68230188,0.051132694,1.6138756
54,0.17150577,0.71745563,-0.042077947,1.5542208
55,0.17345889,0.74728304,-0.13156016,1.4913702
56,0.17547305,0.7771104,-0.21997711,1.4274544
57,0.1774567,0.79575253,-0.29987195,1.3582122
58,0.17944034,0.80693781,-0.37230992,1.2980248
59,0.18148502,0.81386203,-0.44421527,1.2442288
