,acc_time,accX,accY,accZ,label
0,0.25647915,1.6663644,-9.6968164,-0.50517654,Stock1
1,0.25847915,1.6519991,-9.7111816,-0.60573304,Stock1
2,0.26047915,1.6424223,-9.7231522,-0.68953007,Stock1
3,0.26247865,1.6376339,-9.7255468,-0.76614451,Stock1
4,0.26447832,1.6376339,-9.7183638,-0.83557642,Stock1
5,0.26647807,1.6424223,-9.708787,-0.89303726,Stock1
6,0.26847787,1.6543933,-9.6944218,-0.94570965,Stock1
7,0.2704777,1.673547,-9.6752682,-0.99598789,Stock1
8,0.27247756,1.6927006,-9.6537209,-1.0414777,Stock1
9,0.27447744,1.7238252,-9.6297789,-1.0845734,Stock1
10,0.27647732,1.7645266,-9.6034422,-1.1204864,Stock1
11,0.27847732,1.8028339,-9.5747118,-1.1540052,Stock1
12,0.28047496,1.8387469,-9.5459814,-1.1803415,Stock1
13,0.28247279,1.8770541,-9.517251,-1.1994951,Stock1
14,0.28447079,1.9249382,-9.4885206,-1.2114661,Stock1
15,0.28646893,1.9728222,-9.462184,-1.2138603,Stock1
16,0.28846893,2.0231004,-9.4310598,-1.2114661,Stock1
17,0.29046893,2.0685902,-9.4071178,-1.2018893,Stock1
18,0.29246893,2.1188686,-9.390358,-1.1851299,Stock1
19,0.29446888,2.1691468,-9.3807812,-1.1587936,Stock1
20,0.29646819,2.2122424,-9.3735991,-1.127669,Stock1
21,0.29846814,2.2601264,-9.3759928,-1.0845734,Stock1
22,0.3004681,2.3056161,-9.3831758,-1.0366893,Stock1
23,0.30246805,2.3463178,-9.3927526,-0.98880529,Stock1
24,0.304467,2.3894134,-9.4119062,-0.93613285,Stock1
25,0.30646696,2.4253263,-9.438242,-0.8834604,Stock1
26,0.30846692,2.4636335,-9.4741554,-0.83078802,Stock1
27,0.31046688,2.4995465,-9.5100689,-0.78529817,Stock1
28,0.31246685,2.5306711,-9.5459814,-0.74699092,Stock1
29,0.31446681,2.5570073,-9.5795002,-0.71347213,Stock1
30,0.31646678,2.5833437,-9.6154137,-0.67277068,Stock1
31,0.31846674,2.6048915,-9.6537209,-0.63446343,Stock1
32,0.32046581,2.6240451,-9.684845,-0.60573304,Stock1
33,0.32246494,2.6360161,-9.7183638,-0.58657944,Stock1
34,0.32446411,2.6431987,-9.7470942,-0.56981999,Stock1
